Item,Length(cm),Depth(cm),Quantity,Scaled Length,Scaled Depth
Admin Table,167,82,1,5.01,2.46
Filing Cabnet,46,71,1,1.38,2.13
Fridge,60,61,1,1.8,1.83
Mame,110,94,1,3.3,2.82
VHS TV Table,75,120,1,2.25,3.6
Work Table,61.5,244,7,1.845,7.32
Laser Cutter,160,150,1,4.8,4.5
Laser Filter,100,160,1,3,4.8
Material Storage,120,76,1,3.6,2.28
Vinyl Cutter,90,50,1,2.7,1.5
Arlink Bench,95,124,19,2.85,3.72
Arlink Shelf,65,124,19,1.95,3.72
Server Rack,150,60,1,4.5,1.8
Chem Locker,92,46,1,2.76,1.38
Broom Locker,92,46,1,2.76,1.38
Garbage Bin,60,60,5,1.8,1.8
Tool Cart,60,40,1,1.8,1.2
Small CNC,80,60,1,2.4,1.8
Couch,230,100,1,6.9,3
Whiteboard,92,61,2,2.76,1.83
Locker (4 'large'),62,40,2,1.86,1.2
Locker (6 small vert),31,47,3,0.93,1.41
Folding Chair,56,50,5,1.68,1.5
Nokia Chair,63,50,18,1.89,1.5
Wooden Self,256,64,1,7.68,1.92
Drill Press,40,60,1,1.2,1.8
Metal Shelf,130,45,1,3.9,1.35
Power Tool Pedestal,60,60,1,1.8,1.8
Green Manual Lathe,150,70,1,4.5,2.1
Green Manual Mill,150,70,1,4.5,2.1
Table Saw,100,70,1,3,2.1
Woodshop Shelf,65,255,1,1.95,7.65
CNC Mill,130,110,1,3.9,3.3
Workshop Work Bench,100,200,1,3,6
Wooden Tool Self,90,60,1,2.7,1.8
Wheeled Metal Bench,55,120,1,1.65,3.6
Scafolding Shelf,250,80,1,7.5,2.4
Craft Table,250,125,1,7.5,3.75
Black Letherette Couch,200,85,1,6,2.55
Brown Letherette Couch,215,90,1,6.45,2.7
Glass Displays,43,37,2,1.29,1.11
Member storage Mk2,123,62,1,3.69,1.86
Injection Molder,68,83,1,2.04,2.49
Wood CNC,180,155,1,5.4,4.65
Wood CNC console,58,35,1,1.74,1.05
Table Saw Dewalt,195,85,1,5.85,2.55
Thickness Sander,95,65,1,2.85,1.95
Bandsaw,56,56,1,1.68,1.68
Dust collector,65,65,1,1.95,1.95
Backroom Storage Shelf,250,55,1,7.5
Tiag CNC,95,60,1,2.85,1.8
Jointer,118,90,1,3.54,2.7
Anvil,56,36,1,1.68,1.08
Forge,70,55,1,2.1,1.65
Grey Metal Shelf,92,23,1,2.76,0.69
Welder,72,40,1,2.16,1.2
